time,pos,bid,score,first,trump,tricks
1539837082,2,1,0,0,D,"D3,DK,H2,S10;S7,S4,HJ,SK;H9,H6,C6,CK"
1539837082,2,2,0,3,S,"CQ,CA,C7,C2;C9,C6,SK,CJ;DJ,C8,D9,S5;H9,H7,D8,S3"
1539837082,2,2,0,2,S,"S9,S6,SA,S2;DA,C9,C10,CQ;D8,DK,H4,DQ;H5,H9,H7,C2;DJ,D2,H8,C6"
1539837082,2,4,0,1,C,"C4,D9,CK,C3;C6,S9,C9,CQ;C7,S10,D5,C10;D7,HK,D10,D2;SK,H10,SQ,D6;H4,HJ,H8,H2"
1539837082,2,2,12,0,C,"C6,C8,CA,H4;CK,C4,C10,S6;HA,H2,H3,H8;DQ,DJ,D4,D9;D6,C7,D5,D10;D8,S10,S3,SJ;D7,H6,S9,S7"
1539837082,2,2,12,3,C,"C10,C6,C2,CA;C7,H2,C9,C8;H5,H4,C4,D4;SQ,SJ,S2,S6;DK,D5,DJ,DA;H8,H6,SK,HQ;S8,HJ,S5,H7;D7,H10,S3,D8"
1539837082,2,2,0,2,C,"CQ,C6,D3,C10;C5,C8,S3,C9;C3,H2,H3,C2;HA,H6,H7,H5;DK,DA,D6,S2;D9,DQ,HK,S6;H4,DJ,S4,HQ;SJ,H9,S8,H10;S5,D7,S9,H8"
1539837082,2,5,0,1,C,"D2,CK,CQ,C3;S3,C9,C10,S7;D3,C7,C6,H8;S4,C4,D4,D8;H5,H2,H7,HK;SA,S5,S6,SQ;DK,DJ,DA,H9;S9,S8,SK,SJ;D9,H6,DQ,H10;D10,H4,D6,HJ"
1539837082,2,2,0,0,H,"H8,HA,H2,H4;S2,HK,H5,H6;S3,H10,HJ,C2;D3,H9,H7,D2;C5,H3,C4,C6;SA,SQ,S8,S6;SJ,S5,D4,S7;S10,DQ,DJ,CA;S9,C10,D10,DA;C9,C3,C8,CK;C7,D7,D5,CQ"
1539837082,2,8,0,3,D,"DJ,DA,D6,D2;D3,D9,D10,DK;S2,S3,D8,DQ;H2,H4,C2,D7;C4,S6,C5,D4;C7,C8,C6,CA;CQ,CK,H7,CJ;S8,SA,S10,S4;H8,HK,H10,H5;H9,HJ,HQ,C3;S9,S7,SK,S5;C9,H6,SJ,C10"
1539837082,2,5,0,0,D,"HJ,HA,H2,H3;SK,SQ,S5,S2;DA,S3,D10,D3;D9,H4,DK,D5;C3,CJ,CK,C2;C4,H6,CQ,C5;S8,S7,S10,DQ;HQ,H7,S6,HK;D2,H8,C7,C10;SJ,H9,C8,H5;S9,H10,C9,C6"
1539837082,2,6,0,1,H,"HQ,H10,H6,H9;H5,HJ,H3,H7;D3,DA,D5,D2;H2,DK,D9,D6;SA,S6,S2,S4;SK,S8,S10,S7;CQ,C4,CA,C6;S5,C5,SQ,D8;C2,DQ,SJ,D10;C7,DJ,C3,CJ"
1539837082,2,3,0,2,D,"D2,DK,DA,DQ;H8,D10,DJ,D9;H9,HK,HQ,H6;SA,SQ,S2,S4;SK,S5,S3,CA;HJ,H7,H2,H10;C10,CQ,C7,CK;S8,CJ,H4,C9;S9,C3,S6,C6"
1539837082,2,5,0,3,C,"CQ,CK,C10,C6;C4,C8,CJ,C7;D9,D3,DA,D10;H6,H4,HQ,H7;SQ,DK,HJ,H8;SJ,S5,S8,S3;DJ,DQ,S2,S4;S10,D6,H3,H10"
1539837083,2,6,0,0,S,"SK,SQ,S6,S9;S5,SJ,S10,C4;H2,HA,H9,H5;H3,HJ,HK,H6;DK,C3,HQ,D6;D4,C5,CJ,C9;D8,C7,DJ,D9"
1539837083,2,4,0,1,H,"D10,D3,DA,D2;DK,HA,DQ,D6;HK,H6,S5,H7;H4,S7,S8,C6;SQ,S4,D9,S9;CJ,C5,DJ,SJ"
1539837083,2,1,11,2,D,"D6,S8,D3,DK;H2,S2,S4,SQ;C2,H7,S5,CJ;C7,H4,H5,H10;C9,S7,SJ,S10"
1539837083,2,1,0,3,C,"C8,C10,C5,D10;HQ,H4,H8,H2;C3,S10,C7,D7;S3,D4,DK,H6"
1539837083,2,1,0,0,C,"CQ,C7,H3,H7;SA,S5,S7,SQ;H9,S8,S9,D9"
